#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.056   -102.167   -117.978    -20.681    182.542    102.803
      0.200   -102.635    -83.467   -107.155    -10.902    191.454    113.657
      0.300   -103.099    -63.874    -95.171      1.611    200.416    126.023
      0.400   -102.126    -43.408    -81.865     17.847    208.903    140.110
      0.500    -99.277    -22.171    -67.061     39.143    215.837    155.972
      0.600    -93.966     -0.424    -50.605     67.068    219.102    173.144
      0.700    -85.480     21.280    -32.454    102.658    214.966    189.870
      0.800    -73.143     41.951    -12.857    144.086    198.452    202.068
      0.900    -56.752     60.237      7.454    183.727    167.267    204.147
      1.000    -37.009     74.986     27.338    211.143    127.727    193.551
      1.100    -15.276     85.857     45.813    223.507     89.690    175.937
      1.200      7.146     93.255     62.447    224.933     58.277    156.736
      1.300     29.406     97.864     77.222    220.272     33.902    138.779
      1.400     51.055    100.323     90.308    212.708     15.271    122.930
      1.500     71.889    101.134    101.914    203.971      0.955    109.199
      1.600     91.834    100.673    112.240    194.933    -10.185     97.324
      1.700    110.882     99.215    121.457    186.017    -18.977     87.005
      1.800    129.053     96.965    129.705    177.415    -26.011     77.967
      1.900    146.384     94.079    137.103    169.203    -31.706     69.987
      2.000    162.914     90.676    143.747    161.402    -36.366     62.882
      2.100    178.685     86.847    149.716    154.002    -40.212     56.506
      2.200    193.734     82.666    155.079    146.981    -43.407     50.745
      2.300    208.099     78.192    159.891    140.312    -46.077     45.503
      2.400    221.812     73.472    164.201    133.965    -48.316     40.707
      2.500    234.906     68.546    168.052    127.914    -50.198     36.294
      2.600    247.409     63.448    171.477    122.131    -51.780     32.214
      2.700    259.345     58.203    174.509    116.593    -53.110     28.424
      2.800    270.738     52.836    177.174    111.277    -54.223     24.889
      2.900    281.610     47.368    179.498    106.164    -55.151     21.581
      3.000    291.980     41.814    181.501    101.236    -55.917     18.473
      3.100    301.866     36.191    183.201     96.477    -56.542     15.544
      3.200    311.283     30.512    184.617     91.872    -57.043     12.776
      3.300    320.247     24.788    185.764     87.409    -57.434     10.152
      3.400    328.772     19.030    186.654     83.074    -57.727      7.660
      3.500    336.868     13.247    187.302     78.859    -57.931      5.287
