#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    422.080   -509.650    426.870
      0.100    -56.101   -170.409    -84.692    427.898   -498.729    434.895
      0.200    -13.199   -219.652    -40.998    430.137   -486.124    438.986
      0.300     29.797   -267.749      2.942    429.787   -475.825    439.808
      0.400     72.711   -314.964     46.891    428.495   -468.481    439.170
      0.500    115.489   -361.556     90.755    427.066   -463.345    438.119
      0.600    158.130   -407.707    134.513    425.761   -459.676    437.041
      0.700    200.650   -453.539    178.168    424.634   -456.970    436.056
      0.800    243.065   -499.133    221.731    423.676   -454.913    435.192
      0.900    285.392   -544.544    265.212    422.862   -453.307    434.441
      1.000    327.644   -589.811    308.624    422.168   -452.022    433.790
      1.100    369.831   -634.960    351.975    421.571   -450.974    433.224
      1.200    411.962   -680.014    395.272    421.054   -450.104    432.730
      1.300    454.045   -724.988    438.523    420.602   -449.371    432.295
      1.400    496.085   -769.894    481.734    420.205   -448.746    431.910
      1.500    538.088   -814.741    524.907    419.853   -448.208    431.567
      1.600    580.058   -859.539    568.049    419.540   -447.738    431.261
      1.700    621.998   -904.292    611.161    419.259   -447.326    430.985
      1.800    663.911   -949.006    654.247    419.006   -446.961    430.736
      1.900    705.800   -993.686    697.309    418.777   -446.636    430.509
      2.000    747.667  -1038.335    740.350    418.568   -446.345    430.303
      2.100    789.515  -1082.957    783.371    418.378   -446.082    430.114
      2.200    831.344  -1127.553    826.374    418.203   -445.844    429.941
      2.300    873.156  -1172.126    869.360    418.043   -445.627    429.781
      2.400    914.953  -1216.679    912.330    417.895   -445.429    429.633
      2.500    956.736  -1261.213    955.287    417.758   -445.248    429.496
      2.600    998.505  -1305.730    998.230    417.630   -445.081    429.369
      2.700   1040.262  -1350.230   1041.161    417.512   -444.926    429.251
      2.800   1082.008  -1394.715   1084.081    417.401   -444.783    429.140
      2.900   1123.743  -1439.187   1126.990    417.298   -444.650    429.036
      3.000   1165.468  -1483.646   1169.888    417.201   -444.526    428.939
      3.100   1207.183  -1528.093   1212.778    417.110   -444.411    428.847
      3.200   1248.890  -1572.528   1255.658    417.024   -444.303    428.761
      3.300   1290.588  -1616.954   1298.530    416.943   -444.201    428.680
      3.400   1332.279  -1661.369   1341.394    416.867   -444.106    428.603
      3.500   1373.962  -1705.775   1384.251    416.795   -444.016    428.531
      3.600   1415.638  -1750.173   1427.101    416.727   -443.932    428.462
      3.700   1457.307  -1794.562   1469.944    416.662   -443.852    428.397
      3.800   1498.970  -1838.943   1512.780    416.600   -443.776    428.335
      3.900   1540.627  -1883.317   1555.611    416.542   -443.705    428.276
      4.000   1582.279  -1927.684   1598.435    416.486   -443.637    428.219
      4.100   1623.925  -1972.045   1641.255    416.433   -443.572    428.166
      4.200   1665.566  -2016.399   1684.069    416.383   -443.511    428.114
      4.300   1707.201  -2060.747   1726.878    416.334   -443.453    428.066
      4.400   1748.833  -2105.090   1769.682    416.288   -443.397    428.019
      4.500   1790.459  -2149.427   1812.481    416.244   -443.344    427.974
      4.600   1832.081  -2193.758   1855.277    416.201   -443.293    427.931
      4.700   1873.699  -2238.085   1898.068    416.161   -443.244    427.890
      4.800   1915.314  -2282.407   1940.855    416.122   -443.197    427.850
      4.900   1956.924  -2326.725   1983.638    416.084   -443.153    427.812
      5.000   1998.531  -2371.038   2026.417    416.048   -443.110    427.776
      5.100   2040.134  -2415.347   2069.193    416.013   -443.069    427.740
      5.200   2081.733  -2459.652   2111.965    415.980   -443.029    427.707
      5.300   2123.330  -2503.953   2154.734    415.948   -442.991    427.674
      5.400   2164.923  -2548.250   2197.500    415.917   -442.955    427.642
      5.500   2206.513  -2592.544   2240.263    415.887   -442.920    427.612
      5.600   2248.100  -2636.834   2283.023    415.858   -442.886    427.583
      5.700   2289.685  -2681.121   2325.780    415.830   -442.853    427.554
      5.800   2331.266  -2725.405   2368.534    415.803   -442.822    427.527
      5.900   2372.845  -2769.686   2411.285    415.777   -442.791    427.501
